Baustellen_ID,Baustellenart,Baustellentyp,Beginn,Ende,Seite Sperrung,Icon,Beschreibung,Koordinaten
1,Störung,keine Sperrung,15.02.2024 17:30,15.02.2024 20:00,Beidseitig,warnung,"Veranstaltung, dichter Verkehr zu erwarten. Den Besuchern wird empfohlen, mit öffentlichen Verkehrsmitteln anzureisen",POINT(13.44344729778232 52.505832535615625)
2,Baustelle,keine Sperrung,15.02.2024 10:00,23.08.2024 17:00,Einseitig,baustelle,Fahrbahn auf einen Fahrstreifen verengt. Vom Vorarlberger Damm und von der Gotenstraße aus ist nur das Rechtsabbiegen möglich,"GEOMETRYCOLLECTION(POINT(13.358831774611156 52.475930598857715), LINESTRING(13.361656896168299 52.474651977550806, 13.36133796563606 52.47476696223413, 13.360975957533336 52.474896004748466, 13.360687902697736 52.47502400319491, 13.360312080922093 52.47517200344735, 13.36003498989446 52.47530204045644, 13.359874022620831 52.47538198785395, 13.359723028677559 52.47545506022554, 13.358428043821451 52.47607897465884, 13.35819704357039 52.47617305298328, 13.357598983484495 52.47646002028356, 13.357502981372411 52.47653502229346, 13.356848992573939 52.47698700651609, 13.356518968787174 52.47722500337512, 13.355784015249453 52.47773501872352, 13.355725098530636 52.4777709736348))"
3,Baustelle,keine Sperrung,15.02.2024 07:00,11.03.2024 17:00,Einseitig,baustelle,"Instandsetzungsarbeiten, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.376799859856225 52.431729021245104), LINESTRING(13.376914992233392 52.43191601687442, 13.376758065779809 52.43159898994371, 13.376375115418039 52.430751973484305, 13.37590899654233 52.42976696671918))"
4,Baustelle,keine Sperrung,15.02.2024 07:00,01.04.2024 23:59,Beidseitig,baustelle,,"GEOMETRYCOLLECTION(POINT(13.157872592942146 52.419349957162694), LINESTRING(13.152976032887373 52.4188280390938, 13.154133010819029 52.4189430400731, 13.156457014612277 52.41919699211841, 13.1565360541541 52.41920595747333, 13.15737192039163 52.419294968187785, 13.157988028437549 52.41936400434908, 13.158129088625179 52.419388051734934, 13.158662067083245 52.41945102354484, 13.159557027733523 52.41955496598775, 13.16032899358008 52.419639004522885), LINESTRING(13.16032899358008 52.419639004522885, 13.159557027733523 52.41955496598775, 13.158662067083245 52.41945102354484, 13.158129088625179 52.419388051734934, 13.157988028437549 52.41936400434908, 13.15737192039163 52.419294968187785, 13.1565360541541 52.41920595747333, 13.156457014612277 52.41919699211841, 13.154133010819029 52.4189430400731, 13.152976032887373 52.4188280390938))"
5,Sperrung,,14.02.2024 19:13,14.02.2024 21:14,,sperrung,"gesperrt, Verkehrsbehinderung durch Bergungsarbeiten","GEOMETRYCOLLECTION(POINT(13.162559999997972 52.5483200386627), LINESTRING(13.162559999997972 52.5483200386627, 13.162729999997975 52.54859003866239, 13.162749999997978 52.548620038662385, 13.162939999997976 52.548870038662116, 13.162969999997976 52.5489000386621, 13.162989999997974 52.54892003866207, 13.163169999997978 52.549110038661865, 13.163249999997975 52.549180038661795, 13.163379999997975 52.54930003866166, 13.163629999997978 52.54950003866144, 13.163889999997979 52.54968003866125, 13.163969999997976 52.54973003866118, 13.164119999997977 52.54982003866111, 13.164259999997983 52.549910038661004, 13.16428999999798 52.54993003866098, 13.16459999999798 52.55014003866075, 13.164839999997985 52.55035003866055, 13.164899999997983 52.55041003866045, 13.165039999997985 52.55056003866031, 13.165179999997981 52.55077003866009, 13.165369999997981 52.551110038659715))"
6,Gefahr,,14.02.2024 19:06,14.02.2024 21:08,,warnung,"Gefahr durch defektes Fahrzeug, Einfahrt blockiert, fahren Sie bitte besonders vorsichtig","GEOMETRYCOLLECTION(POINT(13.203510599998138 52.69273733850734), LINESTRING(13.203510599998138 52.69273733850734, 13.203359999998137 52.69288003850718, 13.203169999998133 52.693060038507035, 13.202979999998137 52.69325003850679, 13.202749999998135 52.69348003850654, 13.202469999998133 52.693770038506244, 13.20206999999813 52.69419003850577, 13.20188999999813 52.69438003850556, 13.201729999998129 52.69455003850539, 13.201579999998126 52.69472003850521, 13.201359999998127 52.69501003850488, 13.20124999999813 52.69514003850476, 13.201119999998125 52.69529003850458, 13.20099999999813 52.695420038504444, 13.200749999998125 52.69569003850414, 13.200739999998126 52.695830038504006, 13.200669999998128 52.69596003850386, 13.200559999998122 52.696140038503664, 13.200329999998123 52.69652003850325, 13.200229999998125 52.696700038503046, 13.200079999998122 52.69697003850277, 13.200029999998122 52.69708003850263, 13.199839999998122 52.69751003850216, 13.199579999998122 52.698130038501496, 13.199409999998121 52.69857003850102, 13.199309999998123 52.69886003850071, 13.199239999998124 52.699090038500465, 13.19914999999812 52.69939003850014, 13.199069999998121 52.699640038499865, 13.199019999998121 52.699930038499545, 13.19894999999812 52.70034003849911, 13.198929999998118 52.70069003849873, 13.19894999999812 52.70105003849833, 13.19899999999812 52.70142003849792, 13.199079999998125 52.70172003849762, 13.19912999999812 52.70186003849745, 13.19915999999812 52.70195003849736, 13.199229999998119 52.702130038497145, 13.19941999999812 52.70248003849681, 13.199669999998122 52.70284003849639, 13.19979999999812 52.7030100384962, 13.199949999998122 52.703180038496015, 13.200209999998126 52.70344003849574, 13.200639999998126 52.703790038495356, 13.20119999999813 52.70420003849492, 13.201389999998126 52.70434003849479, 13.20149999999813 52.704400038494704, 13.201549999998127 52.70443003849466, 13.201749999998132 52.70456003849453, 13.20187999999813 52.70465003849442, 13.202169999998135 52.704840038494225, 13.202989999998135 52.7053100384937, 13.203949999998141 52.70582003849316, 13.204569999998142 52.706140038492805, 13.205259999998143 52.70649003849244, 13.206199999998148 52.7069600384919, 13.207139999998153 52.7074400384914, 13.207359999998149 52.70755003849127, 13.207829999998152 52.70779003849101, 13.208169999998152 52.70797003849083, 13.208529999998156 52.70816003849061, 13.209119999998157 52.70847003849028, 13.209339999998152 52.70860003849013, 13.209619999998157 52.70876003848999, 13.210379999998162 52.70920003848949, 13.210889999998162 52.70952003848912, 13.211379999998165 52.70984003848878, 13.212109999998168 52.71035003848822, 13.212579999998171 52.710700038487836, 13.212719999998168 52.71081003848774, 13.213189999998173 52.711180038487335, 13.213759999998175 52.711670038486815, 13.214159999998177 52.71206003848638, 13.214609999998178 52.71251003848589, 13.215139999998177 52.71308003848527, 13.215309999998182 52.713280038485046, 13.215469999998177 52.713490038484835, 13.21593999999818 52.71410003848416, 13.216359999998184 52.71473003848347, 13.21660999999818 52.71514003848302, 13.216819999998188 52.71554003848259, 13.217039999998185 52.71596003848216, 13.217279999998187 52.71651003848153, 13.217359999998182 52.716720038481334, 13.217469999998189 52.71702003848099, 13.217619999998186 52.717480038480474, 13.217759999998188 52.717990038479954, 13.217859999998188 52.71823003847965, 13.21794999999819 52.71847003847941, 13.21818999999819 52.71919003847862, 13.218319999998192 52.71957003847821, 13.218409999998192 52.71979003847797, 13.21845999999819 52.719880038477875, 13.218529999998191 52.719960038477794, 13.21862999999819 52.7200300384777, 13.218749999998192 52.72009003847765, 13.218879999998189 52.72014003847759, 13.219039999998193 52.72017003847757, 13.219589999998194 52.72026003847748, 13.219729999998195 52.72027003847745, 13.2199099999982 52.72029003847742, 13.220059999998197 52.720310038477415, 13.220319999998198 52.720350038477385, 13.220539999998195 52.72039003847731, 13.220779999998197 52.72044003847728, 13.2210099999982 52.720490038477216, 13.2213099999982 52.720560038477146, 13.221639999998203 52.72064003847705, 13.221929999998205 52.72071003847697, 13.223329999998207 52.72105003847662, 13.223629999998208 52.72112003847653, 13.223499999998205 52.72139003847624, 13.223389999998206 52.72158003847603, 13.223309999998209 52.72161003847599, 13.223249999998206 52.72162003847599, 13.22318999999821 52.72162003847598, 13.223129999998209 52.72160003847602, 13.223109999998206 52.721560038476035, 13.22311999999821 52.72152003847609, 13.22314999999821 52.721490038476134, 13.22318999999821 52.72146003847615, 13.223319999998207 52.72142003847621, 13.223499999998205 52.72139003847624, 13.223629999998208 52.72112003847653, 13.223329999998207 52.72105003847662, 13.221929999998205 52.72071003847697, 13.221639999998203 52.72064003847705, 13.2213099999982 52.720560038477146, 13.2210099999982 52.720490038477216, 13.220779999998197 52.72044003847728, 13.220539999998195 52.72039003847731, 13.220319999998198 52.720350038477385, 13.220059999998197 52.720310038477415, 13.2199099999982 52.72029003847742, 13.219729999998195 52.72027003847745, 13.219589999998194 52.72026003847748, 13.219389999998198 52.72025003847746, 13.219189999998191 52.72024003847748, 13.218939999998192 52.72023003847751, 13.218409999998192 52.72022003847751, 13.218019999998187 52.72022003847749, 13.217859999998188 52.7202200384775, 13.217159999998188 52.72022003847749, 13.216979999998186 52.7202200384775, 13.216849999998185 52.72021003847753, 13.21674999999818 52.72020003847753, 13.216669999998185 52.720190038477526, 13.216569999998185 52.720170038477555, 13.21646999999818 52.72014003847758, 13.216389999998183 52.72011003847762, 13.216309999998185 52.720070038477665, 13.216229999998184 52.72002003847772, 13.216179999998179 52.71998003847775, 13.216129999998182 52.71993003847781, 13.216089999998182 52.71988003847786, 13.216059999998185 52.71983003847793, 13.216039999998182 52.71978003847798, 13.216029999998181 52.719720038478066, 13.216029999998181 52.719660038478104, 13.216039999998182 52.71961003847817, 13.216059999998185 52.719560038478214, 13.216079999998179 52.719520038478265, 13.216109999998185 52.71947003847833, 13.216159999998187 52.71941003847838, 13.216209999998181 52.71936003847845, 13.21626999999818 52.7193100384785, 13.216349999998183 52.71926003847855, 13.216399999998185 52.71923003847858, 13.216809999998185 52.719040038478795, 13.216939999998184 52.71898003847885, 13.217039999998185 52.718930038478916, 13.217139999998187 52.71887003847898, 13.217229999998185 52.71881003847904, 13.217309999998188 52.7187500384791, 13.217369999998187 52.71869003847918, 13.21742999999819 52.71861003847924, 13.217469999998189 52.718540038479325, 13.21749999999819 52.71848003847938, 13.217519999998188 52.718430038479454, 13.21753999999819 52.718360038479524, 13.21755999999819 52.71826003847964, 13.217599999998187 52.71807003847982, 13.217529999998186 52.717820038480134, 13.217429999998188 52.71740003848058, 13.217329999998189 52.717090038480904, 13.217219999998184 52.71677003848127, 13.217109999998188 52.716490038481574, 13.217039999998185 52.71632003848176, 13.216769999998187 52.715760038482365, 13.216469999998182 52.71522003848296, 13.216249999998183 52.71485003848335, 13.215759999998182 52.714110038484144, 13.215189999998179 52.713390038484924, 13.214879999998178 52.71302003848533, 13.214369999998175 52.712460038485936, 13.213689999998174 52.71180003848664, 13.213019999998172 52.7112100384873, 13.212589999998169 52.71087003848767, 13.212339999998173 52.710670038487876, 13.211599999998166 52.71013003848847, 13.211069999998166 52.70979003848884, 13.21005999999816 52.70915003848955, 13.20955999999816 52.70886003848984, 13.209209999998157 52.70867003849007, 13.208579999998156 52.708320038490434, 13.208029999998152 52.70803003849075, 13.20726999999815 52.707630038491175, 13.206839999998149 52.70748003849136, 13.206219999998147 52.707210038491645, 13.205729999998145 52.70699003849188, 13.204949999998142 52.70660003849231, 13.204659999998142 52.70649003849243, 13.204409999998141 52.70639003849255, 13.204169999998138 52.70629003849264, 13.203909999998139 52.706190038492764, 13.203769999998139 52.706140038492805, 13.20358999999814 52.706090038492874, 13.203349999998137 52.7060500384929, 13.20301999999814 52.70601003849295, 13.202609999998135 52.706010038492956, 13.202219999998134 52.70607003849288, 13.20186999999813 52.70617003849277, 13.201579999998128 52.706240038492695, 13.201339999998131 52.70628003849265, 13.201019999998124 52.70629003849264, 13.200759999998128 52.70626003849268, 13.200529999998126 52.70621003849275, 13.200399999998126 52.70616003849277, 13.200229999998125 52.70608003849287, 13.200049999998127 52.70596003849302, 13.199849999998126 52.70579003849319, 13.199639999998121 52.70560003849339, 13.199469999998122 52.70548003849354, 13.199319999998119 52.70540003849362, 13.199169999998121 52.70533003849367, 13.19896999999812 52.70526003849376, 13.19874999999812 52.70520003849382, 13.198639999998116 52.70518003849385, 13.19848999999812 52.70516003849387, 13.198319999998116 52.70515003849388, 13.198179999998118 52.705150038493876, 13.19784999999812 52.705150038493876, 13.197359999998117 52.705150038493876, 13.196819999998109 52.705210038493824, 13.196239999998111 52.705270038493744, 13.19564999999811 52.70533003849369, 13.195139999998105 52.705380038493615, 13.193909999998104 52.7054900384935, 13.192769999998097 52.70557003849341, 13.192409999998095 52.70559003849342, 13.191389999998092 52.70566003849333, 13.190469999998086 52.70571003849329, 13.190149999998088 52.70573003849327, 13.188579999998082 52.70580003849319, 13.188149999998082 52.70581003849317, 13.187399999998075 52.705830038493154, 13.18609999999807 52.70585003849314, 13.18545999999807 52.70586003849311, 13.18521079999807 52.7058600384931))"
7,Sperrung,,14.02.2024 18:56,14.02.2024 20:58,,sperrung,"gesperrt, bitte vorsichtig fahren","GEOMETRYCOLLECTION(POINT(11.786479999978374 53.019820038146726), LINESTRING(11.786479999978374 53.019820038146726, 11.786669999978383 53.01977003814677, 11.786789999978385 53.01974003814681, 11.786939999978388 53.01970003814685, 11.787079999978397 53.01966003814689, 11.787199999978398 53.01962003814694, 11.7872999999784 53.019580038147, 11.787379999978397 53.019540038147035, 11.787459999978404 53.0194900381471, 11.787539999978408 53.019430038147135, 11.787609999978407 53.01937003814723, 11.787769999978416 53.01922003814739, 11.788539999978438 53.01849003814823, 11.789409999978462 53.01764003814919, 11.789509999978467 53.017540038149285, 11.789569999978463 53.01747003814936, 11.78964999997847 53.01737003814947, 11.78970999997847 53.01729003814956, 11.789759999978473 53.017210038149635, 11.789799999978474 53.01713003814972, 11.789829999978476 53.017050038149826, 11.789849999978475 53.016980038149896, 11.789859999978473 53.016900038150006, 11.789869999978478 53.01678003815012, 11.789869999978475 53.016680038150255, 11.789859999978473 53.01659003815033, 11.789839999978472 53.01649003815046, 11.789809999978472 53.01640003815055, 11.78976999997847 53.016310038150664, 11.789719999978468 53.01623003815074, 11.789659999978465 53.01615003815084, 11.789579999978464 53.01606003815096, 11.789489999978462 53.015970038151046, 11.789389999978459 53.01588003815115, 11.789309999978457 53.01581003815121, 11.78918999997845 53.01571003815133, 11.789149999978449 53.01568003815136, 11.789049999978447 53.01560003815145, 11.788569999978428 53.015220038151874, 11.787519999978391 53.01438003815281, 11.787319999978386 53.014220038153006, 11.78715999997838 53.01409003815317, 11.787019999978376 53.01397003815329, 11.786929999978371 53.013890038153384, 11.786829999978371 53.013800038153484, 11.786699999978365 53.01368003815362, 11.786569999978362 53.013560038153734, 11.786409999978357 53.0134100381539, 11.78590999997834 53.01295003815441, 11.785339999978316 53.01241003815503))"
8,Gefahr,,14.02.2024 18:44,14.02.2024 20:47,,warnung,"Gefahr durch ungesicherte Unfallstelle, bitte vorsichtig fahren","GEOMETRYCOLLECTION(POINT(13.214659999998156 52.301530038922394), LINESTRING(13.214659999998156 52.301530038922394, 13.215359999998165 52.30151003892242, 13.216369999998166 52.30147003892245, 13.217809999998172 52.30141003892251, 13.21919999999818 52.30136003892258, 13.219589999998181 52.30134003892261, 13.220369999998182 52.301320038922626, 13.220889999998185 52.30130003892264, 13.222179999998186 52.3012600389227, 13.22282999999819 52.301230038922704, 13.223769999998193 52.30120003892274, 13.224679999998195 52.301170038922756, 13.2253499999982 52.30114003892282, 13.226119999998204 52.301110038922836, 13.226799999998205 52.30108003892286, 13.22782999999821 52.3010500389229, 13.228409999998208 52.301030038922924, 13.229109999998213 52.301010038922925, 13.229839999998214 52.30098003892295, 13.23073999999822 52.300950038923006, 13.232599999998223 52.300880038923076, 13.23427999999823 52.30081003892317, 13.235759999998237 52.300760038923194, 13.237479999998241 52.30070003892326, 13.238839999998246 52.30065003892332, 13.241549999998261 52.300550038923426, 13.242439999998263 52.30052003892346, 13.245309999998268 52.30041003892357, 13.245989999998272 52.30039003892358, 13.246299999998273 52.30038003892359, 13.247109999998278 52.30036003892363, 13.248179999998277 52.30035003892364, 13.248589999998279 52.300360038923614, 13.24898999999828 52.30038003892359, 13.249489999998284 52.30041003892355, 13.250089999998286 52.300460038923504, 13.250839999998291 52.30054003892344, 13.251369999998293 52.300620038923334, 13.252179999998292 52.30075003892321, 13.253049999998295 52.30094003892302, 13.2534799999983 52.301040038922906, 13.254339999998296 52.30128003892266, 13.255279999998303 52.30158003892235, 13.256389999998307 52.30195003892195, 13.256779999998312 52.30208003892184, 13.25696999999831 52.302140038921785, 13.256999999998309 52.30215003892175, 13.257059999998308 52.30217003892174, 13.257179999998309 52.3022100389217, 13.25752999999831 52.30233003892159, 13.258899999998315 52.302790038921096, 13.260589999998322 52.3033600389205, 13.261069999998321 52.30352003892035, 13.261819999998327 52.303780038920074, 13.262689999998326 52.30407003891976, 13.26350999999833 52.30434003891949, 13.265489999998334 52.3050100389188, 13.266019999998338 52.30519003891861, 13.26791999999835 52.30583003891796, 13.268919999998351 52.30616003891761, 13.26921999999835 52.306260038917486, 13.269279999998352 52.30628003891746, 13.269329999998353 52.30630003891747, 13.269419999998354 52.306330038917416, 13.269639999998354 52.30641003891733, 13.26992999999835 52.30650003891726, 13.270009999998353 52.306530038917195, 13.270109999998354 52.306560038917176, 13.270709999998353 52.30676003891696, 13.27184999999836 52.30715003891659, 13.272489999998358 52.30736003891636, 13.272839999998363 52.30746003891624, 13.273319999998362 52.30760003891611, 13.273759999998369 52.307720038915974, 13.274269999998369 52.30785003891584, 13.274979999998367 52.308020038915686, 13.275829999998367 52.30819003891551, 13.276429999998374 52.308290038915395, 13.277129999998376 52.308390038915284, 13.277849999998375 52.30848003891519, 13.278279999998379 52.30852003891515, 13.27866999999838 52.30855003891511, 13.278859999998383 52.308560038915104, 13.279229999998384 52.30859003891508, 13.279689999998384 52.308610038915056, 13.28019999999839 52.30863003891502))"
9,Gefahr,,14.02.2024 18:34,14.02.2024 20:35,,warnung,Gefahr durch Gegenstände auf der Fahrbahn,"GEOMETRYCOLLECTION(POINT(11.842999999980297 53.091960038065416), LINESTRING(11.842999999980297 53.091960038065416, 11.842699999980287 53.09221003806514, 11.842339999980275 53.09252003806479, 11.84177999998026 53.09299003806424, 11.84081999998023 53.09379003806335, 11.840189999980216 53.09431003806277, 11.839769999980204 53.094670038062354, 11.839359999980193 53.095010038061965, 11.838619999980171 53.095630038061266, 11.838329999980166 53.09588003806099, 11.83811999998016 53.09606003806077, 11.838059999980159 53.09611003806072, 11.837429999980145 53.09662003806013, 11.835879999980097 53.097890038058715, 11.835819999980096 53.097940038058674, 11.834309999980054 53.09921003805722, 11.834009999980045 53.09945003805694, 11.833689999980038 53.099720038056645, 11.833579999980037 53.099810038056546, 11.833329999980032 53.100010038056304, 11.833229999980023 53.100090038056216, 11.83308999998002 53.10021003805608, 11.83232999998 53.10084003805536, 11.832199999979997 53.100950038055245, 11.831839999979987 53.101240038054925, 11.831319999979975 53.10166003805446, 11.831129999979968 53.10183003805426))"
10,Störung,,14.02.2024 18:00,14.02.2024 23:00,,warnung,"Verkehrsbehinderung, Demonstration","GEOMETRYCOLLECTION(POINT(13.386637499998695 52.54951153866144), LINESTRING(13.386637499998695 52.54951153866144, 13.386539999998693 52.549570038661386, 13.386239999998688 52.549750038661166, 13.385499999998691 52.55019003866069, 13.384709999998691 52.55066003866021, 13.384249999998683 52.55094003865991, 13.383589999998685 52.55134003865947, 13.383209999998684 52.55156003865922, 13.382989999998681 52.55169003865911, 13.382529999998681 52.55190003865888, 13.382029999998686 52.55212003865863, 13.381849999998678 52.55220003865855, 13.381559999998677 52.552320038658415, 13.381439999998678 52.55237003865838, 13.381289999998678 52.55228003865848, 13.381089999998677 52.55215003865862, 13.380219999998674 52.5516000386592, 13.37932999999867 52.55105003865981, 13.378639999998672 52.550630038660245, 13.37839999999867 52.550480038660396, 13.37817999999867 52.55033003866055, 13.37807999999867 52.5502700386606, 13.37766999999867 52.550020038660904, 13.377329999998668 52.549810038661114, 13.376969999998666 52.549570038661386, 13.376469999998667 52.54927003866169, 13.376279999998664 52.54915003866181, 13.376219999998664 52.549110038661865, 13.376189999998664 52.54909003866188, 13.375949999998662 52.54894003866205, 13.375719999998662 52.54880003866218, 13.375669999998662 52.54877003866222, 13.375509999998664 52.54867003866233, 13.374969999998662 52.548340038662694, 13.37410999999866 52.54782003866325, 13.373829999998655 52.54766003866341, 13.37361999999866 52.54753003866354, 13.37349999999866 52.54745003866361, 13.372449999998658 52.546800038664315, 13.372299999998656 52.54671003866443, 13.372189999998655 52.546640038664485, 13.37169999999865 52.546330038664834, 13.371439999998652 52.54617003866498, 13.370949999998652 52.54586003866533, 13.370879999998653 52.54582003866537, 13.370769999998654 52.54574003866546, 13.370639999998652 52.545620038665575, 13.370589999998652 52.54554003866569, 13.370529999998652 52.54542003866579, 13.370479999998654 52.54531003866591, 13.370079999998648 52.54536003866585, 13.369819999998649 52.54543003866578, 13.369689999998645 52.54549003866572, 13.369579999998646 52.54555003866566, 13.36951999999865 52.545630038665585, 13.36947999999865 52.54575003866544, 13.369459999998643 52.54597003866521, 13.369449999998649 52.54619003866496, 13.36938999999865 52.54671003866441, 13.369259999998643 52.54798003866308, 13.36922999999865 52.54817003866286, 13.369189999998646 52.548380038662636, 13.369059999998644 52.54838003866264, 13.368729999998648 52.54837003866264, 13.36796999999864 52.548360038662665, 13.366689999998643 52.54820003866283, 13.366479999998637 52.548330038662705, 13.366019999998638 52.54859003866239, 13.365829999998638 52.54870003866229, 13.36554999999864 52.548870038662116, 13.365089999998638 52.54917003866177, 13.364409999998633 52.54962003866132, 13.364249999998634 52.5496400386613, 13.364089999998628 52.5495400386614, 13.362969999998631 52.54883003866215, 13.362899999998628 52.54879003866219, 13.361989999998631 52.54821003866284, 13.361569999998627 52.54795003866309, 13.361539999998625 52.547930038663125, 13.360659999998623 52.54738003866371, 13.360059999998622 52.547000038664116, 13.359899999998621 52.54690003866422, 13.359159999998617 52.546460038664684))"
11,Störung,,14.02.2024 17:37,14.02.2024 19:38,,warnung,"Ampelanlage außer Betrieb, bitte vorsichtig fahren",POINT(13.473399999998895 52.42052003879811)
12,Sperrung,,14.02.2024 16:00,15.02.2024 20:00,,sperrung,"gesperrt, Baustelle","GEOMETRYCOLLECTION(POINT(13.323189999998519 52.49153003872312), LINESTRING(13.323189999998519 52.49153003872312, 13.324849999998523 52.49135003872331))"
13,Sperrung,Vollsperrung,14.02.2024 11:41,,Einseitig,sperrung,"geplatzte Wasserleitung, Vollsperruing für Kfz-Verkehr","GEOMETRYCOLLECTION(POINT(13.310835496009625 52.57719788107314), LINESTRING(13.314179999998496 52.576700038632374, 13.313319999998491 52.57682003863224, 13.313039999998495 52.5768600386322, 13.312639999998494 52.576920038632124, 13.31225999999849 52.57697003863206, 13.311019999998486 52.57714003863189, 13.310439999998483 52.5772200386318, 13.309959999998481 52.57727003863175, 13.309079999998486 52.577310038631694, 13.307929999998478 52.57737003863166, 13.307739999998477 52.57737003863165))"
14,,keine Sperrung,14.02.2024 07:00,23.09.2025 17:00,Einseitig,warnung,"Leitungsbauarbeiten, kein Rechtsabbiegen in Fennstraße möglich","GEOMETRYCOLLECTION(POINT(13.360586756283158 52.53729337020234), LINESTRING(13.363459028112954 52.53590806257626, 13.362903090235847 52.53609197365407, 13.360812041423458 52.53686602388548, 13.360687929714084 52.53695196792647, 13.360557012156935 52.53708600980472, 13.360468055448468 52.53719006314467, 13.360359041878189 52.53731002250677))"
15,Sperrung,Fahrtrichtungssperrung,14.02.2024 07:00,23.09.2025 17:00,Einseitig,sperrung,"Leitungsbau, Fahrtrichtung für Kfz-Verkehr gesperrt","GEOMETRYCOLLECTION(POINT(13.350567013987341 52.53247897880875), LINESTRING(13.350567013987341 52.53247897880875, 13.350760974607013 52.53258696792224, 13.351693966574858 52.53306300860122, 13.351947035899158 52.533203018132426, 13.353281980973023 52.53387201761738, 13.354520007983362 52.534496047371825, 13.355432963540007 52.534958022984824, 13.35671899495946 52.53561695242598))"
16,Sperrung,,14.02.2024 07:00,29.09.2025 23:59,,sperrung,wegen Baustelle gesperrt,"GEOMETRYCOLLECTION(POINT(13.347179999998591 52.53079003868139), LINESTRING(13.347179999998591 52.53079003868139, 13.348039999998587 52.53123003868094, 13.349329999998593 52.53188003868021, 13.349629999998598 52.532030038680055, 13.350029999998597 52.53222003867986, 13.350169999998599 52.53227003867982, 13.350289999998596 52.53232003867976, 13.350519999998598 52.53241003867966, 13.350649999998597 52.532470038679605, 13.351009999998597 52.53269003867936, 13.3514499999986 52.53292003867913, 13.351769999998602 52.53308003867894, 13.351869999998602 52.53314003867889, 13.351929999998605 52.53319003867881, 13.3527799999986 52.53362003867835, 13.35415999999861 52.534310038677624, 13.35457999999861 52.53452003867741, 13.35545999999861 52.53497003867694, 13.355789999998615 52.53514003867676, 13.356089999998611 52.53530003867658, 13.356679999998615 52.53560003867626))"
17,Gefahr,,14.02.2024 06:45,14.02.2024 23:59,Einseitig,warnung,"rechter Fahrstreifen gesperrt, zu hohe Verkehrsbelastung","GEOMETRYCOLLECTION(POINT(13.295730000000002 52.533809999999995), LINESTRING(13.295730000000002 52.533809999999995, 13.29497 52.53376, 13.29342 52.53368999999999, 13.292890000000002 52.53367, 13.29231 52.53363999999999, 13.29163 52.5336, 13.29118 52.53356, 13.290840000000001 52.53352, 13.29037 52.53345, 13.28996 52.53338, 13.2895 52.533289999999994, 13.28922 52.53322000000001, 13.28892 52.53315, 13.28864 52.533079999999984, 13.28819 52.53294, 13.28773 52.53278000000001, 13.28727 52.532599999999995, 13.286870000000002 52.532419999999995, 13.2868699 52.532419999999995))"
18,Störung,,14.02.2024 06:09,,,warnung,"Ampelanlage außer Betrieb, bitte vorsichtig fahren",POINT(13.301159999998454 52.59958003860783)
19,Sperrung,Vollsperrung,14.02.2024 06:00,16.02.2024 18:00,Beidseitig,sperrung,"Kraneinsatz, Vollsperrung für Kfz- und Radverkehr. Radfahrende steigen bitte ab und schieben.",POINT(13.415333014638472 52.57189555306556)
20,Sperrung,,14.02.2024 06:00,16.02.2024 18:00,,sperrung,"gesperrt, Baustelle","GEOMETRYCOLLECTION(POINT(13.415094499998762 52.57211183863729), LINESTRING(13.415094499998762 52.57211183863729, 13.414983599998761 52.57221753863716))"
21,Störung,,14.02.2024 04:41,,,warnung,"Ampelanlage außer Betrieb, Vorsicht an der Kreuzung",POINT(13.409229999998749 52.50176003871225)
22,Baustelle,keine Sperrung,13.02.2024 07:00,30.08.2024 17:00,Einseitig,baustelle,"Schulneubaustelle, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.365651292725536 52.55611197136825), LINESTRING(13.365589959301403 52.556965019680305, 13.365624908099488 52.55675502159272, 13.36569405317923 52.55638302722889, 13.365948075779631 52.55506907445317))"
23,Sperrung,,13.02.2024 07:00,22.03.2024 18:00,,sperrung,wegen Baustelle gesperrt,"GEOMETRYCOLLECTION(POINT(13.300239999998455 52.526100038686394), LINESTRING(13.300239999998455 52.526100038686394, 13.30033999999845 52.52631003868615, 13.300569999998455 52.52683003868559, 13.300849999998457 52.527490038684896))"
24,Störung,,12.02.2024 19:14,,,warnung,"Ampelanlage außer Betrieb, bitte vorsichtig fahren",POINT(13.402489999998732 52.516460038696614)
25,Störung,,12.02.2024 10:56,,,warnung,"Ampelanlage außer Betrieb, bitte vorsichtig fahren",POINT(13.424009999998784 52.539080038672545)
26,Baustelle,keine Sperrung,12.02.2024 07:00,15.02.2024 17:00,Beidseitig,baustelle,"Bau einer Gehwegsüberfahrt, eine gemeinsame Spur wechselseitig frei","GEOMETRYCOLLECTION(POINT(13.563953313100713 52.53422772430989), LINESTRING(13.562514964343462 52.53418600439143, 13.56358692886677 52.53422401409292, 13.564751029574131 52.53426699751482, 13.56538700357069 52.53429197070249, 13.565550975594311 52.53430492704968), LINESTRING(13.565550975594311 52.53430492704968, 13.56538700357069 52.53429197070249, 13.564751029574131 52.53426699751482, 13.56358692886677 52.53422401409292, 13.562514964343462 52.53418600439143))"
